elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001037, 10.001037, 1809, 2760, 349075.8, 355141, 399230, 418925, 425320, 426297, 0
20.001039, 10.000002, 1799, 306548, 353936.1, 353768, 385826, 407105, 416611, 419118, 0
30.002005, 10.000966, 1817, 291736, 352923.9, 353208, 377583, 386647, 398142, 400442, 0
40.002073, 10.000068, 1802, 299295, 354418.4, 354300, 380503, 394210, 400381, 400930, 0
50.001061, 9.998988, 1800, 309312, 356044.3, 356200, 383938, 395641, 400403, 403815, 0
55.42424, 5.423179, 973, 2314, 353847.0, 356147, 384494, 396504, 403815, 406610, 0
