datetime	delete	offset	cap	key1	key2
2014/9/18 3:47	 	718352477	3KB	92580	92580
2014/9/18 3:47	 	804591764	56KB	92626	92626
2014/9/18 3:47	 	838703449	1089KB	92636	92636
2014/9/18 3:47	 	846666113	400KB	92644	92644
2014/9/18 3:47	 	850058360	1347KB	92645	92645
2014/9/18 3:47	 	856947913	1166KB	92647	92647
2014/9/18 3:47	 	858590246	208KB	92648	92648
2014/9/18 3:47	 	888855607	8KB	92669	92669
2014/9/18 3:47	 	904440441	259KB	92677	92677
2014/9/18 3:47	 	942839594	680KB	92695	92695
2014/9/18 3:47	 	969990436	3KB	92711	92711
2014/9/18 3:47	 	994831985	1KB	92725	92725
2014/9/18 3:47	 	1024260562	80KB	92734	92734
2014/9/18 3:47	 	1060363468	641KB	92755	92755
2014/9/18 3:47	 	1083186781	4KB	92767	92767
2014/9/18 3:47	 	1094585951	8KB	92774	92774
2014/9/18 3:47	 	1097297664	54KB	92778	92778
2014/9/18 3:47	 	1134859986	566KB	92800	92800
2014/9/18 3:47	 	1167386910	5KB	92818	92818
2014/9/18 3:47	 	1170193985	713KB	92819	92819
2014/9/18 3:47	 	1174776992	2KB	92822	92822
2014/9/18 3:47	 	1179984912	6KB	92826	92826
2014/9/18 3:47	 	1203323028	55KB	92837	92837
2014/9/18 3:47	 	1212889252	32KB	92842	92842
2014/9/18 3:47	 	1217597148	1271KB	92843	92843
2014/9/18 3:47	 	1233542158	31KB	92850	92850
2014/9/18 3:47	 	1263872725	3KB	92864	92864
2014/9/18 3:47	 	1292807215	1116KB	92880	92880
2014/9/18 3:47	 	1294990063	1397KB	92881	92881
2014/9/18 3:47	 	1303383552	94KB	92888	92888
2014/9/18 3:47	 	1319697965	37KB	92899	92899
2014/9/18 3:47	 	1320143609	90KB	92900	92900
2014/9/18 3:47	 	1335359124	287KB	92912	92912
2014/9/18 3:47	 	1346654466	96KB	92922	92922
2014/9/18 3:47	 	1357011613	413KB	92925	92925
2014/9/18 3:47	 	1375955533	419KB	92933	92933
2014/9/18 3:47	 	1378755585	7KB	92935	92935
2014/9/18 3:47	 	1390065708	54KB	92942	92942
2014/9/18 3:47	 	1406949042	8KB	92947	92947
2014/9/18 3:47	 	1411932866	661KB	92950	92950
2014/9/18 3:47	 	1425070299	95KB	92954	92954
2014/9/18 3:47	 	1476157731	4KB	92985	92985
2014/9/18 3:47	 	1476252861	29KB	92986	92986
2014/9/18 3:47	 	1515147196	79KB	93007	93007
2014/9/18 3:47	 	1519982747	824KB	93010	93010
2014/9/18 3:47	 	1538791952	59KB	93020	93020
2014/9/18 3:47	 	1550812831	7KB	93026	93026
2014/9/18 3:47	 	1614178630	1056KB	93062	93062
2014/9/18 3:47	 	1632579813	93KB	93072	93072
2014/9/18 3:47	 	1634694410	67KB	93073	93073
2014/9/18 3:47	 	1667918191	1250KB	93088	93088
2014/9/18 3:47	 	1672267691	153KB	93089	93089
2014/9/18 3:47	 	1679125177	11KB	93093	93093
2014/9/18 3:47	 	1704677954	589KB	93107	93107
2014/9/18 3:47	 	1733016633	3KB	93119	93119
2014/9/18 3:47	 	1775144164	30KB	93135	93135
2014/9/18 3:47	 	1788978688	886KB	93141	93141
2014/9/18 3:47	 	1849596159	150KB	93167	93167
2014/9/18 3:47	 	1857225533	23KB	93171	93171
2014/9/18 3:47	 	1873447491	8KB	93182	93182
2014/9/18 3:47	 	1889731751	80KB	93187	93187
2014/9/18 3:47	 	1895821545	64KB	93192	93192
2014/9/18 3:47	 	1897584610	1KB	93195	93195
2014/9/18 3:47	 	1914597055	881KB	93204	93204
2014/9/18 3:47	 	1927636132	543KB	93212	93212
2014/9/18 3:47	 	1936920042	1227KB	93215	93215
2014/9/18 3:47	 	1950730271	358KB	93221	93221
2014/9/18 3:47	 	1967871654	6KB	93237	93237
2014/9/18 3:47	 	1975389180	567KB	93241	93241
2014/9/18 3:47	 	1977064098	7KB	93244	93244
2014/9/18 3:47	 	1992787756	1377KB	93254	93254
2014/9/18 3:47	 	2030379758	656KB	93274	93274
2014/9/18 3:47	 	2032694623	14KB	93276	93276
2014/9/18 3:47	 	2074065739	988KB	93293	93293
2014/9/18 3:47	 	2100739102	257KB	93307	93307
2014/9/18 3:47	 	2105501332	4KB	93312	93312
2014/9/18 3:47	 	2121743192	99KB	93322	93322
2014/9/18 3:47	 	2168075040	31KB	93342	93342
2014/9/18 3:47	 	2187990490	1260KB	93352	93352
2014/9/18 3:47	 	2190268693	85KB	93353	93353
2014/9/18 3:47	 	2192037573	6KB	93355	93355
2014/9/18 3:47	 	2285965527	6KB	93400	93400
2014/9/18 3:47	 	2298446679	1300KB	93405	93405
2014/9/18 3:47	 	2332968901	72KB	93430	93430
2014/9/18 3:47	 	2334102426	18KB	93431	93431
2014/9/18 3:47	 	2350990003	1487KB	93437	93437
2014/9/18 3:47	 	2351270734	6KB	93438	93438
2014/9/18 3:47	 	2366863635	347KB	93451	93451
2014/9/18 3:47	 	2379026505	4KB	93461	93461
2014/9/18 3:47	 	2438717908	8KB	93502	93502
2014/9/18 3:47	 	2439794579	78KB	93503	93503
2014/9/18 3:47	 	2480074584	48KB	93533	93533
2014/9/18 3:47	 	2508749338	1113KB	93546	93546
2014/9/18 3:47	 	2525206135	87KB	93554	93554
2014/9/18 3:47	 	2528026450	76KB	93558	93558
2014/9/18 3:47	 	2536734761	7KB	93566	93566
2014/9/18 3:47	 	2542213654	532KB	93569	93569
2014/9/18 3:47	 	2561311290	1363KB	93582	93582
2014/9/18 3:47	 	2563938351	85KB	93583	93583
2014/9/18 3:47	 	2566325959	8KB	93585	93585
2014/9/18 3:47	 	2577539044	1219KB	93590	93590
2014/9/18 3:47	 	2586894500	7KB	93593	93593
2014/9/18 3:47	 	2596320163	170KB	93600	93600
2014/9/18 3:47	 	2624246497	3KB	93610	93610
2014/9/18 3:47	 	2627813263	132KB	93615	93615
2014/9/18 3:47	 	2697338250	424KB	93647	93647
2014/9/18 3:47	 	2705103190	1103KB	93649	93649
2014/9/18 3:47	 	2797594827	544KB	93699	93699
2014/9/18 3:47	 	2814019129	1250KB	93709	93709
2014/9/18 3:47	 	89731	9KB	93720	93720
2014/9/18 3:47	 	15949964	6KB	93726	93726
2014/9/18 3:47	 	22486543	8KB	93729	93729
2014/9/18 3:47	 	27031445	69KB	93732	93732
2014/9/18 3:47	 	38669721	1105KB	93738	93738
2014/9/18 3:47	 	64421963	359KB	93753	93753
2014/9/18 3:47	 	74499443	1181KB	93759	93759
2014/9/18 3:47	 	84729296	241KB	93765	93765
2014/9/18 3:47	 	123076912	1040KB	93785	93785
2014/9/18 3:47	 	127155239	1247KB	93786	93786
2014/9/18 3:47	 	129082239	91KB	93788	93788
2014/9/18 3:47	 	145525001	70KB	93797	93797
2014/9/18 3:47	 	152737162	87KB	93804	93804
2014/9/18 3:47	 	156714053	886KB	93805	93805
2014/9/18 3:47	 	172222061	772KB	93809	93809
2014/9/18 3:47	 	199306991	13KB	93823	93823
2014/9/18 3:47	 	208765739	2KB	93828	93828
2014/9/18 3:47	 	223398577	37KB	93837	93837
2014/9/18 3:47	 	225701947	336KB	93839	93839
2014/9/18 3:47	 	230071688	341KB	93842	93842
2014/9/18 3:47	 	244075387	8KB	93848	93848
2014/9/18 3:47	 	301385349	838KB	93874	93874
2014/9/18 3:47	 	345770478	1152KB	93899	93899
2014/9/18 3:47	 	378531751	172KB	93922	93922
2014/9/18 3:47	 	383483964	219KB	93925	93925
2014/9/18 3:47	 	389210974	1321KB	93930	93930
2014/9/18 3:47	 	448215498	1534KB	93959	93959
2014/9/18 3:47	 	485097520	264KB	93979	93979
2014/9/18 3:47	 	489129503	317KB	93984	93984
2014/9/18 3:47	 	489734022	95KB	93986	93986
2014/9/18 3:47	 	503864287	5KB	93996	93996
2014/9/18 3:47	 	551244940	13KB	94019	94019
2014/9/18 3:47	 	553281585	1226KB	94020	94020
2014/9/18 3:47	 	581846985	8KB	94036	94036
2014/9/18 3:47	 	582167627	36KB	94041	94041
2014/9/18 3:47	 	587751740	491KB	94046	94046
2014/9/18 3:47	 	639213843	21KB	94078	94078
2014/9/18 3:47	 	649611457	575KB	94086	94086
2014/9/18 3:47	 	653060084	76KB	94088	94088
2014/9/18 3:47	 	660516231	261KB	94095	94095
2014/9/18 3:47	 	690467805	59KB	94108	94108
2014/9/18 3:47	 	692329022	159KB	94110	94110
2014/9/18 3:47	 	703792949	9KB	94119	94119
2014/9/18 3:47	 	713030896	12KB	94122	94122
2014/9/18 3:47	 	729673490	1344KB	94127	94127
2014/9/18 3:47	 	740839617	1365KB	94131	94131
2014/9/18 3:47	 	759684973	6KB	94142	94142
2014/9/18 3:47	 	779245963	1218KB	94148	94148
2014/9/18 3:47	 	782426397	35KB	94150	94150
2014/9/18 3:47	 	808166136	8KB	94163	94163
2014/9/18 3:47	 	854962717	73KB	94185	94185
2014/9/18 3:47	 	872798860	299KB	94195	94195
2014/9/18 3:47	 	879170812	6KB	94197	94197
2014/9/18 3:47	 	881379610	6KB	94200	94200
2014/9/18 3:47	 	899281285	596KB	94208	94208
2014/9/18 3:47	 	934329589	1216KB	94225	94225
2014/9/18 3:47	 	974707292	1150KB	94242	94242
2014/9/18 3:47	 	991901670	1153KB	94248	94248
2014/9/18 3:47	 	1026228125	375KB	94265	94265
2014/9/18 3:47	 	1035166090	8KB	94272	94272
2014/9/18 3:47	 	1097535499	14KB	94299	94299
2014/9/18 3:47	 	1105481953	84KB	94302	94302
2014/9/18 3:47	 	1126269710	4KB	94311	94311
2014/9/18 3:47	 	1138814608	194KB	94317	94317
2014/9/18 3:47	 	1141708492	816KB	94318	94318
2014/9/18 3:47	 	1183583444	9KB	94332	94332
2014/9/18 3:47	 	1201809777	1183KB	94341	94341
2014/9/18 3:47	 	1216295442	49KB	94347	94347
2014/9/18 3:47	 	1225283733	36KB	94350	94350
2014/9/18 3:47	 	1238921292	5KB	94361	94361
2014/9/18 3:47	 	1254147704	1155KB	94365	94365
2014/9/18 3:47	 	1278700365	47KB	94378	94378
2014/9/18 3:47	 	1324001336	772KB	94404	94404
2014/9/18 3:47	 	1370357340	1318KB	94425	94425
2014/9/18 3:47	 	1512884624	36KB	94498	94498
2014/9/18 3:47	 	1515149654	2KB	94501	94501
2014/9/18 3:47	 	1528629780	887KB	94509	94509
2014/9/18 3:47	 	1551029798	132KB	94518	94518
2014/9/18 3:47	 	1559649938	810KB	94524	94524
2014/9/18 3:47	 	1561365761	4KB	94525	94525
2014/9/18 3:47	 	1574115284	81KB	94533	94533
2014/9/18 3:47	 	1580482100	79KB	94539	94539
