File: /home/ts-takizawaj01/0.avs_63578231197
2014-09-18 03:47:09	 	80366	78KB	test/7810
2014-09-18 03:47:09	 	89731	9KB	test/93720
2014-09-18 03:47:09	 	108885	18KB	test/26554
2014-09-18 03:47:09	 	118218	8KB	test/79662
2014-09-18 03:47:09	 	125402	6KB	test/34364
2014-09-18 03:47:09	 	216480	88KB	test/37488
2014-09-18 03:47:09	 	281541	63KB	test/18745
2014-09-18 03:47:09	 	300602	18KB	test/10935
2014-09-18 03:47:09	 	302591	1KB	test/57795
2014-09-18 03:47:09	 	1118589	796KB	test/1
2014-09-18 03:47:09	 	1501041	373KB	test/43737
2014-09-18 03:47:09	 	2097169	582KB	test/60919
2014-09-18 03:47:09	 	2357824	254KB	test/98408
2014-09-18 03:47:09	 	3172586	795KB	test/15621
2014-09-18 03:47:09	 	3266520	91KB	test/26557
2014-09-18 03:47:09	 	3336823	68KB	test/20309
2014-09-18 03:47:09	 	3383495	45KB	test/14061
2014-09-18 03:47:09	 	3398563	14KB	test/87474
2014-09-18 03:47:09	 	3401048	2KB	test/35930
2014-09-18 03:47:09	 	4171790	752KB	test/89036
2014-09-18 03:47:09	 	4597914	415KB	test/9375
2014-09-18 03:47:09	 	5106740	496KB	test/3
2014-09-18 03:47:09	 	5119148	11KB	test/17185
2014-09-18 03:47:09	 	5155187	35KB	test/23433
2014-09-18 03:47:09	 	6498320	1311KB	test/92160
2014-09-18 03:47:09	 	6547356	47KB	test/39053
2014-09-18 03:47:09	 	7075102	515KB	test/9376
2014-09-18 03:47:09	 	7081014	5KB	test/7816
2014-09-18 03:47:09	 	8581453	1465KB	test/81228
2014-09-18 03:47:09	 	8588221	6KB	test/32806
2014-09-18 03:47:09	 	9482100	872KB	test/92161
2014-09-18 03:47:09	 	9974329	480KB	test/54675
2014-09-18 03:47:09	 	9977103	2KB	test/3129
2014-09-18 03:47:09	 	11530660	1517KB	test/87476
2014-09-18 03:47:09	 	12240530	693KB	test/84353
2014-09-18 03:47:09	 	12739524	487KB	test/20313
2014-09-18 03:47:09	 	13535512	777KB	test/73420
2014-09-18 03:47:09	 	13569586	33KB	test/78105
2014-09-18 03:47:09	 	14361632	773KB	test/74981
2014-09-18 03:47:09	 	15059302	681KB	test/31245
2014-09-18 03:47:09	 	15060725	1KB	test/71862
2014-09-18 03:47:09	 	15123751	61KB	test/78106
2014-09-18 03:47:09	 	15133937	9KB	test/29687
2014-09-18 03:47:09	 	15144160	9KB	test/90603
2014-09-18 03:47:09	 	15943415	780KB	test/34372
2014-09-18 03:47:09	 	15949964	6KB	test/93726
