elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000734, 10.000734, 1224, 6544, 510793.7, 522325, 552527, 593085, 600460, 600901, 0
20.001754, 10.00102, 1230, 482936, 518986.5, 517836, 543579, 550831, 556587, 558529, 0
30.001731, 9.999977, 1256, 460186, 507616.3, 507290, 531850, 542083, 547014, 547912, 0
40.001742, 10.000011, 1248, 469822, 515593.5, 515743, 544203, 549001, 557385, 558436, 0
50.001738, 9.999996, 1232, 471145, 517209.4, 519420, 538821, 549457, 554758, 555393, 0
60.001738, 10.0, 1223, 479821, 523687.0, 524614, 551425, 562046, 578324, 578867, 0
70.001711, 9.999973, 1227, 472279, 521101.4, 519908, 564971, 571496, 584472, 584835, 0
80.001731, 10.00002, 1241, 454913, 517261.4, 519076, 544740, 552611, 559822, 560019, 0
80.996899, 0.995168, 119, 3595, 512904.4, 520797, 545525, 554082, 560019, 561471, 0
